,Date,Open,High,Low,Close,Adj Close,Volume,MA50,MA200,Previous day close price,Change in price,Percent change in price,Previous day volume,Change in volume,Percent change in volume
5485,2021-06-21,39.599998,39.599998,38.900002,38.900002,37.91523,11083.0,37.93199976,31.463249944999998,39.200001,-0.2999989999999997,-0.0076530355190551624,8477.0,2606.0,0.30742007785773273
5486,2021-06-22,39.0,39.799999,39.0,39.799999,38.792442,11376.0,37.99199976,31.538749934999995,38.900002,0.899996999999999,0.02313616847628941,11083.0,293.0,0.026436885319859327
5487,2021-06-23,39.700001,40.400002,39.700001,40.200001,39.18232,9057.0,38.03599978,31.61549994,39.799999,0.40000200000000063,0.010050301760057945,11376.0,-2319.0,-0.20385021097046419
5488,2021-06-24,40.200001,40.799999,40.200001,40.5,39.474724,3353.0,38.10399982,31.68974994,40.200001,0.2999989999999997,0.007462661505903911,9057.0,-5704.0,-0.6297891133929557
5489,2021-06-25,40.599998,40.599998,39.799999,40.099998,39.08485,1996.0,38.175999780000005,31.761249935000002,40.5,-0.40000200000000063,-0.009876592592592659,3353.0,-1357.0,-0.4047121980316135
5490,2021-06-28,40.0,40.0,39.5,39.799999,38.792442,2555.0,38.255999779999996,31.831749925,40.099998,-0.2999989999999997,-0.007481272193579636,1996.0,559.0,0.2800601202404809
5491,2021-06-29,39.900002,40.400002,39.700001,40.299999,39.279789,3391.0,38.361999759999996,31.90274992,39.799999,0.5,0.012562814386000376,2555.0,836.0,0.32720156555772983
5492,2021-06-30,40.200001,40.200001,39.700001,40.0,38.987385,5702.0,38.45199976,31.972999915,40.299999,-0.2999989999999997,-0.007444144105313688,3391.0,2311.0,0.6815098790917133
5493,2021-07-01,40.0,40.700001,39.799999,40.700001,39.669659,13300.0,38.5399998,32.049249915,40.0,0.7000010000000003,0.01750002499999992,5702.0,7598.0,1.3325149070501578
5494,2021-07-02,40.599998,42.799999,40.400002,42.799999,41.716492,15976.0,38.68399982,32.139749905,40.700001,2.0999979999999994,0.0515970011892628,13300.0,2676.0,0.20120300751879694
5495,2021-07-05,42.900002,43.0,41.799999,42.799999,41.716492,12697.0,38.82199976,32.2292499,42.799999,0.0,0.0,15976.0,-3279.0,-0.20524536805207816
5496,2021-07-06,43.0,44.0,42.599998,43.400002,42.301311,9330.0,38.973999819999996,32.32124991,42.799999,0.600003000000001,0.014018762009784247,12697.0,-3367.0,-0.26518075135858865
5497,2021-07-07,43.400002,44.299999,43.299999,43.599998,42.496243,11248.0,39.0699998,32.410749895,43.400002,0.19999599999999873,0.004608202552617291,9330.0,1918.0,0.20557341907824234
5498,2021-07-08,43.599998,43.700001,40.5,41.700001,40.644341,15399.0,39.12199986,32.489499895,43.599998,-1.899996999999999,-0.043577914843023646,11248.0,4151.0,0.369043385490754
5499,2021-07-09,41.799999,42.200001,41.400002,41.599998,40.546875,3790.0,39.19399982,32.569999884999994,41.700001,-0.10000300000000095,-0.002398153419708615,15399.0,-11609.0,-0.7538801220858498
5500,2021-07-12,41.799999,41.799999,40.799999,40.799999,39.767128,4091.0,39.25399982,32.64724988,41.599998,-0.7999989999999997,-0.019230746116862818,3790.0,301.0,0.07941952506596306
5501,2021-07-13,40.700001,40.900002,40.5,40.799999,39.767128,9611.0,39.32399982,32.72274987,40.799999,0.0,0.0,4091.0,5520.0,1.349303348814471
5502,2021-07-14,40.799999,41.700001,40.700001,41.400002,40.35194,4082.0,39.39399982,32.80099988,40.799999,0.600003000000001,0.014705956242793139,9611.0,-5529.0,-0.5752783269170743
5503,2021-07-15,41.5,41.5,40.099998,40.599998,39.572186,3837.0,39.4499998,32.874999875,41.400002,-0.8000040000000013,-0.019323767182426788,4082.0,-245.0,-0.06001959823615877
5504,2021-07-16,40.299999,40.400002,38.299999,40.400002,39.377258,10692.0,39.511999859999996,32.951749889999995,40.599998,-0.19999599999999873,-0.004926010094877364,3837.0,6855.0,1.7865519937451135
5505,2021-07-19,40.5,41.5,39.799999,40.099998,39.08485,9629.0,39.56599978,33.02774988,40.400002,-0.30000400000000127,-0.00742584121654255,10692.0,-1063.0,-0.09942012719790494
5506,2021-07-20,40.0,41.200001,39.900002,41.200001,40.157001,5962.0,39.67199976,33.109249885,40.099998,1.100003000000001,0.027431497627506074,9629.0,-3667.0,-0.3808287464949631
5507,2021-07-21,41.299999,42.099998,40.700001,41.700001,40.644341,10889.0,39.77799974,33.19399989,41.200001,0.5,0.012135922035535929,5962.0,4927.0,0.8264005367326401
5508,2021-07-22,41.799999,41.900002,40.200001,40.700001,39.669659,8838.0,39.86599978,33.274249895,41.700001,-1.0,-0.023980814772642356,10889.0,-2051.0,-0.18835522086509326
